Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,6/4/2017,4980,CO$/KG
Cacao Nacional,6/12/2017,4878,CO$/KG
Cacao Nacional,6/19/2017,4924,CO$/KG
Cacao Nacional,6/26/2017,4744,CO$/KG
Cacao Nacional,7/3/2017,4780,CO$/KG
Cacao Nacional,7/10/2017,4974,CO$/KG
Cacao Nacional,7/17/2017,4836,CO$/KG
Cacao Nacional,7/24/2017,4944,CO$/KG
Cacao Nacional,7/31/2017,4994,CO$/KG
Cacao Nacional,8/7/2017,5168,CO$/KG
Cacao Nacional,8/14/2017,5052,CO$/KG
Cacao Nacional,8/21/2017,4816,CO$/KG
Cacao Nacional,8/28/2017,4856,CO$/KG
Cacao Nacional,9/4/2017,4888,CO$/KG
Cacao Nacional,9/11/2017,4792,CO$/KG
Cacao Nacional,9/18/2017,4904,CO$/KG
Cacao Nacional,9/25/2017,4904,CO$/KG
Cacao Nacional,10/2/2017,4996,CO$/KG
Cacao Nacional,10/9/2017,5116,CO$/KG
Cacao Nacional,10/16/2017,5234,CO$/KG
Cacao Nacional,10/23/2017,5230,CO$/KG
Cacao Nacional,10/30/2017,5246,CO$/KG
Cacao Nacional,11/6/2017,5358,CO$/KG
Cacao Nacional,11/13/2017,5448.3,CO$/KG
Cacao Nacional,11/20/2017,5442,CO$/KG
Cacao Nacional,11/27/2017,5402,CO$/KG
Cacao Nacional,12/4/2017,5372,CO$/KG
Cacao Nacional,12/11/2017,4970,CO$/KG
Cacao Nacional,12/18/2017,4930,CO$/KG
Cacao Nacional,12/25/2017,4846,CO$/KG
Cacao Nacional,1/1/2018,4846,CO$/KG
Cacao Nacional,1/8/2018,4730,CO$/KG
Cacao Nacional,1/15/2018,4814,CO$/KG
Cacao Nacional,1/22/2018,4872,CO$/KG
Cacao Nacional,1/29/2018,4718,CO$/KG
Cacao Nacional,2/5/2018,4848,CO$/KG
Cacao Nacional,2/12/2018,4857,CO$/KG
Cacao Nacional,2/19/2018,5054,CO$/KG
Cacao Nacional,2/26/2018,5172,CO$/KG
Cacao Nacional,3/5/2018,5295,CO$/KG
Cacao Nacional,3/12/2018,5971,CO$/KG
Cacao Nacional,3/19/2018,6250,CO$/KG
Cacao Nacional,3/26/2018,6252,CO$/KG
Cacao Nacional,4/2/2018,6357,CO$/KG
Cacao Nacional,4/9/2018,6210,CO$/KG
Cacao Nacional,4/16/2018,6068,CO$/KG
Cacao Nacional,4/23/2018,6330,CO$/KG
Cacao Nacional,4/30/2018,6686,CO$/KG
